Human N 0915
Probe Array Lot: 1004874
Operator Name: JB
Sample Type: Normal
Sample Description: exp.  3/20/024/25/02
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:76, Count:32
Corner- Avg:6889, Count:32
BF= Alpha1=0.04 Alpha2=0.06 Tau=0.015 Gamma1H=0.0025 Gamma1L=0.0025 Gamma2H=0.003 Gamma2L=0.003 Perturbation=1.1 TGT=500 NF=1.000000 SF=6.263740 SFGene=All 
Background=Avg:46.02,Stdev:0.44,Max:47.5,Min:44.9 Noise=Avg:2.01,Stdev:0.09,Max:2.3,Min:1.8 RawQ=1.75 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
31507_at	16	16	14.4	A	0.837065																															
31508_at	16	16	6976.2	P	0.000219																															
31509_at	16	16	6653.8	P	0.000266																															
31510_s_at	16	16	966.5	P	0.001354																															
31511_at	16	16	7303.8	P	0.000219																															
31512_at	16	16	8.7	A	0.837105																															
31513_at	16	16	10.9	A	0.964837																															
31514_at	16	16	310.7	A	0.234557																															
31515_at	16	16	59.3	A	0.978134																															
31516_f_at	16	16	148.9	P	0.035163																															
31517_f_at	16	16	33.9	A	0.418069																															
31518_i_at	15	15	6.4	A	0.976587																															
31519_f_at	16	16	237.1	P	0.004180																															
31520_at	16	16	11.6	A	0.849473																															
31521_f_at	16	16	133.4	A	0.418069																															
31522_f_at	16	16	299.6	A	0.107301																															
31523_f_at	16	16	386.2	P	0.002617																															
31524_f_at	16	16	380.0	P	0.007543																															
31525_s_at	16	16	27422.6	P	0.000219																															
31526_f_at	16	16	487.4	P	0.000805																															
31527_at	16	16	5183.6	P	0.000219																															
31528_f_at	16	16	749.2	A	0.127645																															
31529_at	16	16	102.0	A	0.150527																															
31530_at	16	16	279.0	A	0.138765																															
31531_g_at	16	16	359.4	P	0.009985																															
31532_at	16	16	250.6	A	0.302547																															
31533_s_at	16	16	152.0	A	0.284747																															
31534_at	16	16	21.7	A	0.837065																															
31535_i_at	15	15	89.5	P	0.009939																															
31536_at	16	16	1262.3	P	0.000219																															
31537_at	16	16	127.0	A	0.150527																															
31538_at	16	16	6878.7	P	0.000219																															
31539_r_at	16	16	3.1	A	0.765443																															
31540_at	16	16	30.6	A	0.438361																															
31541_at	16	16	19.1	A	0.621816																															
31542_at	16	16	10.4	A	0.715253																															
31543_at	16	16	23.4	A	0.882840																															
31544_at	16	16	264.1	A	0.397994																															
31545_at	16	16	12323.3	P	0.000266																															
31546_at	16	16	2474.7	P	0.000219																															
31547_at	16	16	16.9	A	0.849473																															
31548_at	16	16	112.5	A	0.660442																															
31549_at	16	16	22.4	A	0.641310																															
31550_at	16	16	146.5	A	0.127645																															
31551_at	16	16	69.3	A	0.397994																															
31552_at	16	16	20.3	A	0.849473																															
31553_at	16	16	10.1	A	0.964837																															
31554_at	16	16	187.9	A	0.218983																															
31555_at	16	16	25.6	A	0.749276																															
31556_at	16	16	109.5	A	0.234557																															
31557_at	16	16	8865.9	P	0.000219																															
31558_at	16	16	129.3	A	0.060419																															
31559_at	16	16	489.9	A	0.073830																															
31560_at	16	16	29.3	A	0.397994																															
31561_at	16	16	9.8	A	0.985063																															
31562_at	16	16	132.5	A	0.150527																															
31563_at	16	16	12.6	A	0.964837																															
31564_at	16	16	244.1	A	0.089405																															
31565_at	16	16	174.2	A	0.189687																															
31566_at	16	16	92.2	A	0.302547																															
31567_at	16	16	79.0	A	0.581931																															
31568_at	16	16	7825.4	P	0.000219																															
31569_at	16	16	40.4	A	0.765443																															
31570_at	16	16	24.6	A	0.660442																															
31571_at	16	16	42.3	A	0.127645																															
31572_at	16	16	64.8	A	0.872355																															
31573_at	16	16	6254.1	P	0.000266																															
31574_i_at	13	13	21.4	A	0.746627																															
31575_f_at	16	16	188.7	A	0.175989																															
31576_at	16	16	39.6	A	0.479380																															
31577_at	16	16	45.5	A	0.175989																															
31578_at	16	16	79.9	A	0.218983																															
31579_at	16	16	50.1	A	0.660442																															
31580_at	16	16	6.1	A	0.795978																															
31581_at	16	16	6.3	A	0.918663																															
31582_at	16	16	16.4	A	0.964837																															
31583_at	16	16	5975.1	P	0.000219																															
31584_at	16	16	7224.0	P	0.000219																															
31585_at	16	16	30.9	A	0.824011																															
31586_f_at	16	16	173.2	A	0.284747																															
31587_at	16	16	320.9	A	0.284747																															
31588_at	16	16	23.8	A	0.500000																															
31589_at	16	16	97.9	A	0.066865																															
31590_g_at	16	16	666.1	A	0.250724																															
31591_s_at	16	16	5.0	A	0.975289																															
31592_at	16	16	28.1	A	0.882840																															
31593_at	16	16	47.7	A	0.978134																															
31594_at	16	16	869.1	P	0.035163																															
31595_at	16	16	40.7	A	0.918663																															
31596_f_at	16	16	2023.1	A	0.162935																															
31597_r_at	16	16	1189.9	A	0.302547																															
31598_s_at	16	16	21.1	A	0.765443																															
31599_f_at	16	16	43.6	A	0.749276																															
31600_s_at	16	16	395.8	P	0.000219																															
31601_s_at	16	16	24.4	A	0.765443																															
31602_at	16	16	85.1	A	0.679170																															
31603_at	16	16	18.4	A	0.837065																															
31604_at	16	16	27.2	A	0.975289																															
31605_at	16	16	911.7	P	0.006532																															
31606_at	16	16	10.0	A	0.732537																															
31607_at	16	16	184.6	A	0.358690																															
31608_g_at	16	16	2794.5	P	0.000322																															
31609_s_at	16	16	1188.2	P	0.008689																															
31610_at	16	16	44.5	A	0.732537																															
31611_s_at	16	16	3.8	A	0.972140																															
31612_at	16	16	8.3	A	0.991311																															
31613_at	16	16	11.7	A	0.715253																															
31614_at	16	16	139.3	P	0.039365																															
31615_i_at	15	15	60.7	A	0.714970																															
31616_r_at	16	16	6.0	A	0.892699																															
31617_at	16	16	29.3	A	0.810313																															
31618_at	16	16	75.4	A	0.541184																															
31619_at	16	16	3.0	A	0.732537																															
31620_at	16	16	36.5	A	0.479380																															
31621_s_at	16	16	226.8	A	0.162935																															
31622_f_at	16	16	1700.4	M	0.054470																															
31623_f_at	16	16	1666.1	A	0.066865																															
31624_at	16	16	46.1	A	0.679170																															
31625_at	16	16	8.6	A	0.500000																															
31626_i_at	13	13	790.9	A	0.066479																															
31627_f_at	16	16	207.5	A	0.418069																															
31628_at	16	16	48.5	M	0.043968																															
31629_at	16	16	38.4	A	0.098054																															
31630_at	16	16	8.6	A	0.972140																															
31631_f_at	16	16	33.7	A	0.660442																															
31632_at	16	16	20.9	A	0.901946																															
31633_g_at	16	16	221.4	A	0.127645																															
31634_at	16	16	161.2	A	0.150527																															
31635_g_at	16	16	39.9	A	0.781017																															
31636_s_at	16	16	481.2	A	0.204022																															
31637_s_at	16	16	1096.4	A	0.204022																															
31638_at	16	16	3925.1	P	0.000562																															
31639_f_at	16	16	29.3	A	0.892699																															
31640_r_at	16	16	160.3	A	0.882840																															
31641_s_at	16	16	366.9	A	0.138765																															
31642_at	16	16	26.4	A	0.602006																															
31643_at	16	16	6.6	A	0.991311																															
31644_at	16	16	33.8	A	0.882840																															
31645_at	16	16	64.6	A	0.561639																															
31646_at	16	16	13.3	A	0.749276																															
31647_at	16	16	14.6	A	0.988553																															
31648_at	16	16	53.0	A	0.218983																															
31649_at	16	16	12.8	A	0.960635																															
31650_g_at	16	16	67.6	A	0.872355																															
31651_at	16	16	2.2	A	0.892699																															
31652_at	16	16	134.6	A	0.438361																															
31653_at	16	16	63.9	A	0.621816																															
31654_at	16	16	67.2	A	0.561639																															
31655_at	16	16	181.3	A	0.234557																															
31656_at	16	16	27.4	A	0.520620																															
31657_at	16	16	8.4	A	0.933135																															
31658_at	16	16	26.3	A	0.892699																															
31659_at	16	16	353.1	A	0.117160																															
31660_at	16	16	27.0	A	0.978134																															
31661_at	16	16	88.4	A	0.810313																															
31662_at	16	16	37.5	A	0.985063																															
31663_at	16	16	266.4	A	0.320830																															
31664_at	16	16	15.9	A	0.990015																															
