Human N 0106
Probe Array Lot: 1004872
Operator Name: JB
Sample Type: Human Normal
Sample Description: exp.  3/17/02
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:82, Count:32
Corner- Avg:7913, Count:32
BF= Alpha1=0.04 Alpha2=0.06 Tau=0.015 Gamma1H=0.0025 Gamma1L=0.0025 Gamma2H=0.003 Gamma2L=0.003 Perturbation=1.1 TGT=500 NF=1.000000 SF=5.707668 SFGene=All 
Background=Avg:54.31,Stdev:0.88,Max:56.8,Min:52.0 Noise=Avg:2.17,Stdev:0.10,Max:2.5,Min:2.0 RawQ=1.96 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
31672_g_at	16	16	512.0	P	0.001141																															
31673_s_at	16	16	1279.1	P	0.000673																															
31674_s_at	16	16	18.6	A	0.980696																															
31675_s_at	16	16	131.3	A	0.066865																															
31676_at	16	16	14.1	A	0.926170																															
31677_at	16	16	36.8	A	0.541184																															
31678_at	16	16	8.9	A	0.781017																															
31679_at	16	16	2.4	A	0.849513																															
31680_at	16	16	540.8	P	0.002617																															
31681_at	16	16	452.3	A	0.267463																															
31682_s_at	16	16	136.2	A	0.060419																															
31683_at	16	16	66.6	A	0.162935																															
31684_at	16	16	73.8	A	0.218983																															
31685_at	16	16	183.1	A	0.621816																															
31686_at	16	16	20.6	A	0.458816																															
31687_f_at	16	16	26275.5	P	0.000219																															
31688_at	16	16	154.5	A	0.438361																															
31689_at	16	16	68.1	M	0.043968																															
31690_at	16	16	830.3	P	0.004863																															
31691_g_at	16	16	1032.6	P	0.000388																															
31692_at	16	16	429.3	P	0.001892																															
31693_f_at	16	16	63.0	A	0.520620																															
31694_at	16	16	337.8	A	0.060419																															
31695_g_at	16	16	194.3	P	0.021866																															
31696_at	16	16	37.6	A	0.641310																															
31697_s_at	16	16	7512.7	P	0.000219																															
31698_at	16	16	50.4	A	0.926170																															
31699_at	16	16	384.3	P	0.001602																															
31700_at	16	16	886.1	P	0.004863																															
31701_r_at	16	16	592.1	A	0.175989																															
31702_at	16	16	10.4	A	0.892699																															
31703_at	16	16	7.1	A	0.882840																															
31704_at	16	16	22.7	A	0.910595																															
31705_at	16	16	33.9	A	0.910595																															
31706_at	16	16	4.4	A	0.975289																															
31707_at	16	16	48.4	A	0.320830																															
31708_at	16	16	8782.6	P	0.000219																															
31709_at	16	16	113.5	A	0.861235																															
31710_at	16	16	31.3	A	0.621816																															
31711_at	16	16	23.7	A	0.861235																															
31712_at	16	16	82.7	A	0.438361																															
31713_s_at	16	16	26.7	A	0.872355																															
31714_at	16	16	17.7	A	0.250724																															
31715_at	16	16	261.4	A	0.302547																															
31716_at	16	16	58.0	A	0.697453																															
31717_at	16	16	6.1	A	0.995820																															
31718_at	16	16	5.3	A	0.561639																															
31719_at	16	16	3240.5	P	0.000219																															
31720_s_at	16	16	2262.0	P	0.000219																															
31721_at	16	16	3.9	A	0.781017																															
31722_at	16	16	5521.7	P	0.000219																															
